text,rate,number,rank,inform_tip
鬼太郎 第六季,7.4,(19人评分),,"
2018年4月1日 / 清水空翔 "
决斗大师！,,,,"
2018年4月1日 "
甜蜜惩罚 我是看守专用宠物,,(少于10人评分),,"
2018年4月1日 / 熨斗谷充孝 / いづみ翔「甘い懲罰～私は看守専用ペット」 / ななし "
LOST SONG,5.8,(54人评分),3478,"
12话 / 2018年3月31日 "
催眠☆学園,3.4,(15人评分),,"
2话 / 2018-03-30 "
非人哉,,(少于10人评分),,"
12话 / 2018年3月29日 / 钟鸣 / 一汪空气 "
秩父福至,,(少于10人评分),,"
1话 / 2018年3月29日 "
重神机潘多拉,5.0,(117人评分),4531,"
26话 / 2018年3月28日 / 佐藤英一 / 河森正治・サテライト / 安彦英二 "
新妹魔王的契约者 DEPARTURES,6.0,(46人评分),,"
1话 / 2018年3月28日 / 上栖綴人 "
自杀小队：严厉惩罚,,(少于10人评分),,"
2018-03-27 "
茶啊二中第四季,,(少于10人评分),,"
12话 / 2018年3月27日 / 阎凯 "
超变战陀,,,,"
40话 / 2018年3月26日 / 汤远铭 "
跳跃战士,,,,"
26话 / 2018年3月26日 "
关于我女友是个一本正经的碧池这件事 OAD,,(少于10人评分),,"
2话 / 2018年3月26日 "
尼特子很辛苦哟,,(少于10人评分),,"
4话 / 2018年3月26日 "
SNS警察,,,,"
9话 / 2018年3月24日 / 星子旋風脚 / 星子旋風脚 "
康斯坦丁：恶魔之城,,(少于10人评分),,"
5话 / 2018-03-24 "
My Little Pony: Friendship Is Magic: S8,,,,"
26话 / 2018-03-24 "
SWORD GAI 装刀凯,4.6,(57人评分),4395,"
12话 / 2018年3月23日 / 中智仁 / 雨宮慶太・井上敏樹・木根ヲサム（『月刊ヒーローズ』連載） / 中嶋敦子 "
犬之岛,,(少于10人评分),,"
2018年3月23日 "
万界仙踪,,(少于10人评分),,"
40话 / 2018年3月21日 / 发飙的蜗牛 "
ReLIFE 完结篇,7.4,(453人评分),1092,"
4话 / 2018年3月21日 / 小坂知 / 夜宵草 (comico) / 山中純子 "
毛毛虫菠萝,,,,"
2018年3月21日 / 宮崎駿 "
百变马丁 第三季,,,,"
26话 / 2018年3月20日 / 张天晓、周磊、贾立 "
探探猫之奇幻马戏团 第二季,,,,"
52话 / 2018年3月19日 / 宋庭辉 "
路人超能100 REIGEN～不为人知的奇迹灵能者～,7.0,(107人评分),1750,"
1话 / 2018年3月18日 "
光之美少女 SuperStars,,(少于10人评分),,"
2018年3月17日 "
DAYS 東院学園戦,,,,"
3话 / 2018年3月16日 "
妻ネトリ・凌辱輪廻,5.7,(28人评分),,"
2018-03-16 "
平假名男子 ～序～,,,,"
2018年3月16日 "
万古仙穹 第二季,,(少于10人评分),,"
12话 / 2018年3月15日 / 于沺 / 观棋 "
香肠派对,,,,"
20话 / 2018年3月15日 / 钱煜 "
超智能足球2,,(少于10人评分),,"
2018年3月15日 / 钱国栋(果冻GC) "
食神魂 第二季,,(少于10人评分),,"
12话 / 2018年3月14日 / 朱宇辰、张颉羚 "
爆裂飞车之兽神合体,,,,"
26话 / 2018年3月12日 "
斗破苍穹 第二季 Q版小剧场,,,,"
12话 / 2018年3月11日 / 陈淳、王鹤东 / 天蚕土豆 "
小兵杨来西,,,,"
26话 / 2018年3月9日 / 赵发华 "
映画しまじろう まほうのしまの だいぼうけん,,,,"
2018年3月9日 / ベネッセコーポレーション "
A.I.C.O.：化身,6.8,(594人评分),2315,"
12话 / 2018年3月9日 / 村田和也 / BONES "
斗破苍穹 第二季,6.2,(10人评分),,"
12话 / 2018年3月3日 / 赵丙乐 / 天蚕土豆 "
文豪野犬 DEAD APPLE,,(少于10人评分),,"
2018年3月3日 / 朝霧カフカ・春河35「文豪ストレイドッグス」（ヤングエース / KADOKAWA） "
哆啦A梦 大雄的宝岛,,(少于10人评分),,"
2018年3月3日 "
B：起点,6.8,(549人评分),2336,"
12话 / 2018年3月2日 / 中澤一登、山川吉樹 / 中澤一登×Production I.G / 中澤一登 "
战神金刚：传奇的保护神 第五季,,,,"
6话 / 2018/03/02 "
别惹流氓兔马修,,,,"
70话 / 2018年3月2日 / 殷玉麒 "
新麦圈可可美食天下,,,,"
26话 / 2018年2月28日 / 赵发华 "
マジメな姪に催眠術をかけてセックス大好き淫乱ビッチにしてみた,,(少于10人评分),,"
1话 / 2018/02/27 "
三只兔子 第二季,,,,"
26话 / 2018年2月26日 "
腌黄瓜先生 第三季,,(少于10人评分),,"
11话 / 2018-02-25 "
哈喽！葡星人之极训特工,,,,"
26话 / 2018年2月24日 / 刘思蜀、张智玮 "
劇場版 Infini-T Force,,,,"
2018年2月24日 "
为离别之朝饰上约定之花,7.9,(43人评分),,"
2018年2月24日 "
なりゆき→パパ活GIRLS!! THE ANIMATION,5.7,(59人评分),3577,"
2018-02-23 / クレージュエース / 伊乃 "
灵契·黄泉之契,,(少于10人评分),,"
12话 / 2018年2月23日 / 瓶子「灵契」腾讯动漫（テンセント動漫）连载 "
フリフレ2 妹・菫～背徳の再会,4.5,(36人评分),,"
2018-02-23 "
恋するシロクマ 「食物連鎖」篇,,(少于10人评分),,"
2018-02-19 "
IDOLiSH7 Vibrato ep.1 TRIGGER -The before Radiant Glory-,,(少于10人评分),,"
1话 / 2018年2月17日 / バンダイナムコオンライン・都志見文太 "
熊出没·变形记,,(少于10人评分),,"
1话 / 2018年2月16日 / 林汇达、丁亮 "
峡谷重案组 第二季,,(少于10人评分),,"
12话 / 2018年2月16日 / 白桃乌龙 "
雄兵连之乾坤篇,,(少于10人评分),,"
11话 / 2018年2月15日 / 萨拉雷(刘怀)、V7(韦琪) "
乐高DC超级英雄：闪电侠,,(少于10人评分),,"
2018-02-13 "
剧场版心跳餐厅 MIRACLE6,,,,"
2018年2月10日 "
Code Geass 反叛的鲁路修 II 叛道,,(少于10人评分),,"
2018年2月10日 "
エンコーJ●ビッチギャル オジサンとなまパコ性活,5.3,(48人评分),,"
2话 / 2018/02/09 "
剧场版 超时空要塞Δ 激情的Walküre,,(少于10人评分),,"
2018年2月9日 "
Cherry&GAL's↑↑,4.4,(39人评分),,"
2话 / 2018/02/09 / 丸居まる "
小狸猫与小狐狸,,,,"
20话 / 2018年2月9日 "
甘布大冒险,,,,"
52话 / 2018年2月7日 / 任勋 "
猪猪侠之环球日记,,,,"
26话 / 2018年2月7日 / 陈业峰 "
幻古云界之山海奇缘,,,,"
13话 / 2018年2月5日 / 温带麟、王钢、李者 "
爱不冬眠,,(少于10人评分),,"
1话 / 2018年2月5日 / 彭擎政 "
HUGtto！光之美少女,7.9,(35人评分),,"
2018年2月4日 "
东方七色花,,,,"
26话 / 2018年2月4日 "
がん がん がんこちゃん 新シリーズ,,,,"
2018年2月4日 / 竹田睦美 "
RWBY Chibi Season 3,,(少于10人评分),,"
8话 / 2018-02-03 "
迷域行者,7.0,(18人评分),,"
2018年2月3日 / 孙猛 / 七月初七&廿一 / 孙猛 "
ねぇ、…しよ♥,5.2,(45人评分),,"
2话 / 2018-02-02 / ピジャ／コアマガジン "
欢迎来到好色妖精之森,6.3,(98人评分),3183,"
2话 / 2018-02-02 / 雷火剣 "
安妮：从前,,(少于10人评分),,"
1话 / 2018-02-01 "
うどんとホタル,,,,"
1话 / 2018.1.31 "
梦想召唤王 第二季：彩虹,,,,"
52话 / 2018年1月31日 / 徐腾 "
Fate/EXTRA Last Encore,6.4,(664人评分),3513,"
13话 / 2018年1月27日 "
宇宙战舰大和号2202 爱的战士们 第四章,,(少于10人评分),,"
2018年1月27日 "
七美德,4.9,(98人评分),4508,"
10话 / 2018年1月26日 / 飯塚正則 "
早期人类,,,,"
2018年1月26日 / Nick Park "
ドＳな生徒会長サマがＭノートに支配されました。,3.5,(41人评分),,"
2话 / 2018-01-26 "
リアルエロゲシチュエーション！ THE ANIMATION,6.2,(64人评分),2937,"
2话 / 2018-01-26 / 小原和大 / 自宅すたじお「リアルエロゲシチュエーション！」 "
画江湖之侠岚,,(少于10人评分),,"
40话 / 2018年1月26日 "
蝙蝠侠：煤气灯下的哥谭,7.2,(13人评分),,"
2018-01-23 / Sam Liu "
宿舍不日常,,(少于10人评分),,"
10话 / 2018年1月23日 / 张蒙蒙、魏尧、高达 "
小鹿杏仁儿,,,,"
52话 / 2018年1月23日 "
恶魔咩姆咩姆酱,5.8,(15人评分),,"
2018年1月22日 / 沼田誠也 / 四谷啓太郎「悪魔のメムメムちゃん」（少年ジャンプ＋連載） / 岩本里奈 "
斗罗大陆,5.6,(26人评分),,"
26话 / 2018年1月20日 / 唐家三少(炫世唐门) "
